id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
0,150A20,ASME B31.3,-40 / 200,Alloy 20,1/2 - 4,2.77 - 3.91,45AW,N,,150A20,2.77,3.91,Pipe line class 150A20. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Alloy 20. Diameter 1/2 - 4 in. Thickness range 2.77 - 3.91 mm. WPS number 45AW. PWHT N.
1,150A80,ASME B31.3,-40 / 230,Incoloy 825 (NACE),3/4 - 12,3.91 - 7.11,51AW,N,,150A80,3.91,7.11,Pipe line class 150A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825 (NACE). Diameter 3/4 - 12 in. Thickness range 3.91 - 7.11 mm. WPS number 51AW. PWHT N.
2,150C80,ASME B31.3,-40 / 200,Incoloy 825,1/2-3 Solid,3.68 - 5.49,51AW,N,,150C80,3.68,5.49,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Incoloy 825. Diameter 1/2-3 Solid in. Thickness range 3.68 - 5.49 mm. WPS number 51AW. PWHT N.
3,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 625 internal cladding,4 - 16,9.27 - 11.13,81AW,N see Note (7),,150C80,9.27,11.13,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4 - 16 in. Thickness range 9.27 - 11.13 mm. WPS number 81AW. PWHT N see Note (7).
4,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825 internal cladding,4 - 18,6.02 - 7.92,Contact MI Engineer,N see Note (7),,150C80,6.02,7.92,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825 internal cladding. Diameter 4 - 18 in. Thickness range 6.02 - 7.92 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
5,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825/625 internal cladding,18 - 48,9.53 - 12.70,Contact MI Engineer,N see Note (7),,150C80,9.53,12.7,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18 - 48 in. Thickness range 9.53 - 12.70 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
6,150CP2,ASME B31.3,-40 / 150,LTCS PTFE Lined,1/2 - 24,,,,Flanged connections,150CP2,,,Pipe line class 150CP2. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS PTFE Lined. Diameter 1/2 - 24 in. Comments Flanged connections.
7,150H21,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.73 - 7.82,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",150H21,3.73,7.82,"Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2""."
8,150H21,ASME B31.3,-40 / 343,LTCS NACE,14 - 48,7.92 - 12.70,21AW,N,,150H21,7.92,12.7,Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 14 - 48 in. Thickness range 7.92 - 12.70 mm. WPS number 21AW. PWHT N.
9,150H21,ASME B31.3,-40 / 343,LTCS NACE,24,19.05,21PW,Y,,150H21,19.05,19.05,Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 24 in. Thickness range 19.05 mm. WPS number 21PW. PWHT Y.
10,150H23,ASME B31.3,-40 / 215,LTCS NACE,1/2 - 3,7.47 - 11.07,20AW,N,,150H23,7.47,11.07,Pipe line class 150H23. Design code ASME B31.3. Design temperature range -40 / 215 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 7.47 - 11.07 mm. WPS number 20AW. PWHT N.
11,150H23,ASME B31.3,-40 / 215,LTCS NACE,> 3,8.56 - 12.70,21AW,N,,150H23,8.56,12.7,Pipe line class 150H23. Design code ASME B31.3. Design temperature range -40 / 215 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 8.56 - 12.70 mm. WPS number 21AW. PWHT N.
12,150H25 (A),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 7.82,20PW,Y,"For service codes CC, CCS, DCS. SW only for legacy lines < 2""",150H25A,3.91,7.82,"Pipe line class 150H25 (A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 20PW. PWHT Y. Comments For service codes CC, CCS, DCS. SW only for legacy lines < 2""."
13,150H25 (A),ASME B31.3,-40 / 343,LTCS NACE,> 3,7.92 - 12.70,21PW,Y,"For service codes CC, CCS, DCS. SW only for legacy lines < 2""",150H25A,7.92,12.7,"Pipe line class 150H25 (A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 7.92 - 12.70 mm. WPS number 21PW. PWHT Y. Comments For service codes CC, CCS, DCS. SW only for legacy lines < 2""."
14,150H25 (B),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 7.82,"20AW, for SW see Note (2)",N,"For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""",150H25B,3.91,7.82,"Pipe line class 150H25 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""."
15,150H25 (B),ASME B31.3,-40 / 343,LTCS NACE,> 3,7.92 - 12.70,21AW,N,"For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""",150H25B,7.92,12.7,"Pipe line class 150H25 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 7.92 - 12.70 mm. WPS number 21AW. PWHT N. Comments For service codes CC, CCS, DCS use 150H25 (A). SW only for legacy lines < 2""."
16,150H26,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 5.54,20AW,N,,150H26,3.91,5.54,Pipe line class 150H26. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number 20AW. PWHT N.
17,150H26,ASME B31.3,-40 / 343,LTCS NACE,> 3,6.02 - 10.00,21AW,N,,150H26,6.02,10,Pipe line class 150H26. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 10.00 mm. WPS number 21AW. PWHT N.
18,150H2G,ASME B31.3,-40 / 150,LTCS Galv/Scrd,< 3,5.54 - 7.14,,,Threaded connections,150H2G,5.54,7.14,Pipe line class 150H2G. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS Galv/Scrd. Diameter < 3 in. Thickness range 5.54 - 7.14 mm. Comments Threaded connections.
19,150H2G,ASME B31.3,-40 / 150,LTCS Galv,≥ 3,7.62 - 9.53,"21AW, Note (3)",N,Welded,150H2G,7.62,9.53,"Pipe line class 150H2G. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS Galv. Diameter ≥ 3 in. Thickness range 7.62 - 9.53 mm. WPS number 21AW, Note (3). PWHT N. Comments Welded."
20,150H5E,ASME B31.8,-40 / 75,LTCS,1/2 - 3,3.73 - 5.54,"F-001AW, Note (6)",N,,150H5E,3.73,5.54,"Pipe line class 150H5E. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS. Diameter 1/2 - 3 in. Thickness range 3.73 - 5.54 mm. WPS number F-001AW, Note (6). PWHT N."
21,150H5E,ASME B31.8,-40 / 75,LTCS  - API 5L X60 (SMLS),6 - 8,6.35,"F-002AW, Note (6)",N,,150H5E,6.35,6.35,"Pipe line class 150H5E. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 6 - 8 in. Thickness range 6.35 mm. WPS number F-002AW, Note (6). PWHT N."
22,150J20,ASME B31.3,-40 / 180,LTCS NACE,3/4 - 3,5.49 - 8.74,20AW,N,,150J20,5.49,8.74,Pipe line class 150J20. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 5.49 - 8.74 mm. WPS number 20AW. PWHT N.
23,150J20,ASME B31.3,-40 / 180,LTCS NACE,> 3,6.02 - 9.53,21AW,N,,150J20,6.02,9.53,Pipe line class 150J20. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 9.53 mm. WPS number 21AW. PWHT N.
24,150K21,ASME B31.3,-40 / 232,LTCS NACE,1/2 - 3,3.73 - 8.74,"20PW, for SW see Note (2)",Y,,150K21,3.73,8.74,"Pipe line class 150K21. Design code ASME B31.3. Design temperature range -40 / 232 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 8.74 mm. WPS number 20PW, for SW see Note (2). PWHT Y."
25,150K21,ASME B31.3,-40 / 232,LTCS NACE,> 3,6.02 - 25.4,21PW,Y,,150K21,6.02,25.4,Pipe line class 150K21. Design code ASME B31.3. Design temperature range -40 / 232 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 25.4 mm. WPS number 21PW. PWHT Y.
26,150K23,ASME B31.3,-40 / 200,LTCS NACE,3/4 - 3,7.62 - 11.07,20PW,Y,,150K23,7.62,11.07,Pipe line class 150K23. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 7.62 - 11.07 mm. WPS number 20PW. PWHT Y.
27,150K23,ASME B31.3,-40 / 200,LTCS NACE,> 3,8.56 - 12.70,21PW,Y,,150K23,8.56,12.7,Pipe line class 150K23. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 8.56 - 12.70 mm. WPS number 21PW. PWHT Y.
28,150K26,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.91 - 5.54,"20PW, for SW see Note (2)",Y,"SW only for legacy lines < 2""",150K26,3.91,5.54,"Pipe line class 150K26. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number 20PW, for SW see Note (2). PWHT Y. Comments SW only for legacy lines < 2""."
29,150K26,ASME B31.3,-40 / 343,LTCS NACE,> 3,6.02 - 10.00,21PW,Y,,150K26,6.02,10,Pipe line class 150K26. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 10.00 mm. WPS number 21PW. PWHT Y.
30,150K5E,ASME B31.8,-40 / 75,LTCS PTFE Lined,,,,,Flanged connections,150K5E,,,Pipe line class 150K5E. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS PTFE Lined. Comments Flanged connections.
31,150K5F,ASME B31.8,-40 / 100,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 8.74,"F-001PW, Note (6)",Y,,150K5F,3.91,8.74,"Pipe line class 150K5F. Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 8.74 mm. WPS number F-001PW, Note (6). PWHT Y."
32,150K5F,ASME B31.8,-40 / 100,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 6.35,"F-002PW, Note (6)",Y,,150K5F,6.02,6.35,"Pipe line class 150K5F. Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 6.35 mm. WPS number F-002PW, Note (6). PWHT Y."
33,150K5F,ASME B31.8,-40 / 100,LTCS  - API 5L X60 (SMLS),> 12,6.35 - 9.53,"F-017PW, Note (6)",Y,,150K5F,6.35,9.53,"Pipe line class 150K5F. Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 6.35 - 9.53 mm. WPS number F-017PW, Note (6). PWHT Y."
34,150M40,ASME B31.3,-40 / 215,Monel 400,3/4 - 2,2.87 - 3.91,48AW,N,,150M40,2.87,3.91,Pipe line class 150M40. Design code ASME B31.3. Design temperature range -40 / 215 deg C. Material Monel 400. Diameter 3/4 - 2 in. Thickness range 2.87 - 3.91 mm. WPS number 48AW. PWHT N.
35,150MO6,ASME B31.3,-40 / 200,6% Moly (UNS31254),1/2 - 3,3.91 - 5.08,01AW,N,"SW only for legacy lines < 2""",150MO6,3.91,5.08,"Pipe line class 150MO6. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material 6% Moly (UNS31254). Diameter 1/2 - 3 in. Thickness range 3.91 - 5.08 mm. WPS number 01AW. PWHT N. Comments SW only for legacy lines < 2""."
36,150MO6,ASME B31.3,-40 / 200,6% Moly (UNS31254),> 3,7.04 - 7.80,01AW,N,,150MO6,7.04,7.8,Pipe line class 150MO6. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material 6% Moly (UNS31254). Diameter > 3 in. Thickness range 7.04 - 7.80 mm. WPS number 01AW. PWHT N.
37,150P21,ASME B31.3,-120 / 180,316/316L SS,1/2 - 3,3.91 - 7.82,25AW,N,,150P21,3.91,7.82,Pipe line class 150P21. Design code ASME B31.3. Design temperature range -120 / 180 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 25AW. PWHT N.
38,150P21,ASME B31.3,-120 / 180,316/316L SS,> 3,7.11 - 24.61,14AW,N,,150P21,7.11,24.61,Pipe line class 150P21. Design code ASME B31.3. Design temperature range -120 / 180 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 7.11 - 24.61 mm. WPS number 14AW. PWHT N.
39,150P22,ASME B31.3,-40 / 535,316/316L SS,1/2 - 3,3.38 - 7.82,25AW,N,,150P22,3.38,7.82,Pipe line class 150P22. Design code ASME B31.3. Design temperature range -40 / 535 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.38 - 7.82 mm. WPS number 25AW. PWHT N.
40,150P22,ASME B31.3,-40 / 535,316/316L SS,> 3,7.04 - 12.70,14AW,N,,150P22,7.04,12.7,Pipe line class 150P22. Design code ASME B31.3. Design temperature range -40 / 535 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 7.04 - 12.70 mm. WPS number 14AW. PWHT N.
41,150P23,ASME B31.3,-40 / 145,316 SS,1/2 - 2,3.91 - 5.54,25AW,N,For vendor packages only,150P23,3.91,5.54,Pipe line class 150P23. Design code ASME B31.3. Design temperature range -40 / 145 deg C. Material 316 SS. Diameter 1/2 - 2 in. Thickness range 3.91 - 5.54 mm. WPS number 25AW. PWHT N. Comments For vendor packages only.
42,150PE2,,-40 / 40,HDPE,,,,,Thermal fusion technique,150PE2,,,Pipe line class 150PE2. Design temperature range -40 / 40 deg C. Material HDPE. Comments Thermal fusion technique.
43,150PE3,,-40 / 40,HDPE,,,,,Thermal fusion technique,150PE3,,,Pipe line class 150PE3. Design temperature range -40 / 40 deg C. Material HDPE. Comments Thermal fusion technique.
44,150PE4,,-40 / 40,HDPE,,,,,Thermal fusion technique,150PE4,,,Pipe line class 150PE4. Design temperature range -40 / 40 deg C. Material HDPE. Comments Thermal fusion technique.
45,150PE7,,-40 / 75,HDPE,,,,,Below ground thermal fusion technique,150PE7,,,Pipe line class 150PE7. Design temperature range -40 / 75 deg C. Material HDPE. Comments Below ground thermal fusion technique.
46,150PE7,,-40 / 75,HDPE,,,,,Above ground flanged connections,150PE7,,,Pipe line class 150PE7. Design temperature range -40 / 75 deg C. Material HDPE. Comments Above ground flanged connections.
47,150PE14,,-40 / 40,HDPE,,,,,Thermal fusion technique,150PE14,,,Pipe line class 150PE14. Design temperature range -40 / 40 deg C. Material HDPE. Comments Thermal fusion technique.
48,150PE15,,-40 / 75,HDPE,,,,,Thermal fusion technique,150PE15,,,Pipe line class 150PE15. Design temperature range -40 / 75 deg C. Material HDPE. Comments Thermal fusion technique.
49,150PE16,,-40 / 75,HDPE,,,,,Thermal fusion technique,150PE16,,,Pipe line class 150PE16. Design temperature range -40 / 75 deg C. Material HDPE. Comments Thermal fusion technique.
50,150VC01,ASME B31.3,-40 / 110,LTCS Galv,≤ 1,,,,Screwed connections,150VC01,,,Pipe line class 150VC01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material LTCS Galv. Diameter ≤ 1 in. Comments Screwed connections.
51,150VC01,ASME B31.3,-40 / 110,LTCS Galv,≥ 1.1/2 and ≤ 16,,,,Victaulic groove & coupling,150VC01,,,Pipe line class 150VC01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material LTCS Galv. Diameter ≥ 1.1/2 and ≤ 16 in. Comments Victaulic groove & coupling.
52,150VC01,ASME B31.3,-40 / 110,LTCS Galv,> 16,7.92 - 9.53,21AW,N,,150VC01,7.92,9.53,Pipe line class 150VC01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material LTCS Galv. Diameter > 16 in. Thickness range 7.92 - 9.53 mm. WPS number 21AW. PWHT N.
53,150VG01,ASME B31.3,-40 / 110,LTCS Galv,≤ 1,,,,Screwed connections,150VG01,,,Pipe line class 150VG01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material LTCS Galv. Diameter ≤ 1 in. Comments Screwed connections.
54,150VG01,ASME B31.3,-40 / 110,LTCS Galv,≥ 1.1/2 and ≤ 16,,,,Victaulic groove & coupling,150VG01,,,Pipe line class 150VG01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material LTCS Galv. Diameter ≥ 1.1/2 and ≤ 16 in. Comments Victaulic groove & coupling.
55,150VG01,ASME B31.3,-40 / 110,LTCS Galv,> 16,7.92 - 9.53,21AW,N,,150VG01,7.92,9.53,Pipe line class 150VG01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material LTCS Galv. Diameter > 16 in. Thickness range 7.92 - 9.53 mm. WPS number 21AW. PWHT N.
56,150VS01,ASME B31.3,-40 / 110,316/316L SS,,,,,Victaulic groove & coupling,150VS01,,,Pipe line class 150VS01. Design code ASME B31.3. Design temperature range -40 / 110 deg C. Material 316/316L SS. Comments Victaulic groove & coupling.
57,300A20,ASME B31.3,-40 / 200,Alloy 20,1/2 - 3,3.91 - 5.56,45AW,N,,300A20,3.91,5.56,Pipe line class 300A20. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Alloy 20. Diameter 1/2 - 3 in. Thickness range 3.91 - 5.56 mm. WPS number 45AW. PWHT N.
58,300A20,ASME B31.3,-40 / 200,Alloy 20,> 3,7.11 - 9.52,46AW,N,,300A20,7.11,9.52,Pipe line class 300A20. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Alloy 20. Diameter > 3 in. Thickness range 7.11 - 9.52 mm. WPS number 46AW. PWHT N.
59,300A80,ASME B31.3,-40 / 230,Incoloy 825,1/2 - 12,3.91 - 9.52,51AW,N,,300A80,3.91,9.52,Pipe line class 300A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825. Diameter 1/2 - 12 in. Thickness range 3.91 - 9.52 mm. WPS number 51AW. PWHT N.
60,300C80,ASME B31.3,-40 / 230,Incoloy 825,1/2-3 Solid,3.68 - 5.49,51AW,N,,300C80,3.68,5.49,Pipe line class 300C80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825. Diameter 1/2-3 Solid in. Thickness range 3.68 - 5.49 mm. WPS number 51AW. PWHT N.
61,300C80,ASME B31.3,-40 / 230,LTCS + 3 mm 625 internal cladding,4-16,6.02 - 12.70,81AW,N see Note (7),,300C80,6.02,12.7,Pipe line class 300C80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4-16 in. Thickness range 6.02 - 12.70 mm. WPS number 81AW. PWHT N see Note (7).
62,300C80,ASME B31.3,-40 / 230,LTCS + 3 mm 825 internal cladding,4-16,6.02 - 12.70,Contact MI Engineer,N see Note (7),,300C80,6.02,12.7,Pipe line class 300C80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material LTCS + 3 mm 825 internal cladding. Diameter 4-16 in. Thickness range 6.02 - 12.70 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
63,300C80,ASME B31.3,-40 / 230,LTCS + 3 mm 825/625 internal cladding,18 - 24,12.70 - 14.27,Contact MI Engineer,N see Note (7),,300C80,12.7,14.27,Pipe line class 300C80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18 - 24 in. Thickness range 12.70 - 14.27 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
64,300C80,ASME B31.3,-40 / 230,LTCS + 3 mm 825/625 internal cladding,42,24,Contact MI Engineer,Y,,300C80,24,24,Pipe line class 300C80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 42 in. Thickness range 24 mm. WPS number Contact MI Engineer. PWHT Y.
65,300H21(A),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.73 - 7.82,"20AW, for SW see Note (2)",N,"For service code CDM use 300H21 (B). SW only for legacy lines < 2""",300H21A,3.73,7.82,"Pipe line class 300H21(A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments For service code CDM use 300H21 (B). SW only for legacy lines < 2""."
66,300H21(A),ASME B31.3,-40 / 343,LTCS NACE,14 - 30,9.53 - 18.00,21AW,N,"For service code CDM use 300H21 (B). SW only for legacy lines < 2""",300H21A,9.53,18,"Pipe line class 300H21(A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 14 - 30 in. Thickness range 9.53 - 18.00 mm. WPS number 21AW. PWHT N. Comments For service code CDM use 300H21 (B). SW only for legacy lines < 2""."
67,300H21(A),ASME B31.3,-40 / 343,LTCS NACE,24 - 48,19.05 - 29.00,21PW,Y,"For service code CDM use 300H21 (B). SW only for legacy lines < 2""",300H21A,19.05,29,"Pipe line class 300H21(A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 24 - 48 in. Thickness range 19.05 - 29.00 mm. WPS number 21PW. PWHT Y. Comments For service code CDM use 300H21 (B). SW only for legacy lines < 2""."
68,300H21 (B),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.73 - 7.82,"20PW, for SW see Note (2)",Y,"For service code CDM only. SW only for legacy lines < 2""",300H21B,3.73,7.82,"Pipe line class 300H21 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 20PW, for SW see Note (2). PWHT Y. Comments For service code CDM only. SW only for legacy lines < 2""."
69,300H21 (B),ASME B31.3,-40 / 343,LTCS NACE,14 - 30,9.53 - 18.00,21PW,Y,"For service code CDM only. SW only for legacy lines < 2""",300H21B,9.53,18,"Pipe line class 300H21 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 14 - 30 in. Thickness range 9.53 - 18.00 mm. WPS number 21PW. PWHT Y. Comments For service code CDM only. SW only for legacy lines < 2""."
70,300H21 (B),ASME B31.3,-40 / 343,LTCS NACE,24 - 48,19.05 - 29.00,21PW,Y,"For service code CDM only. SW only for legacy lines < 2""",300H21B,19.05,29,"Pipe line class 300H21 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 24 - 48 in. Thickness range 19.05 - 29.00 mm. WPS number 21PW. PWHT Y. Comments For service code CDM only. SW only for legacy lines < 2""."
71,300H25 (A),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,4.55 - 7.82,"20AW, for SW see Note (2)",N,"For legacy lines service code CC, CCS, DCS use 300H25 (B). SW only for legacy lines < 2""",300H25A,4.55,7.82,"Pipe line class 300H25 (A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.55 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments For legacy lines service code CC, CCS, DCS use 300H25 (B). SW only for legacy lines < 2""."
72,300H25 (A),ASME B31.3,-40 / 343,LTCS NACE,> 3,8.18 - 17.48,21AW,N,"For legacy lines service code CC, CCS, DCS use 300H25 (B). SW only for legacy lines < 2""",300H25A,8.18,17.48,"Pipe line class 300H25 (A). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 8.18 - 17.48 mm. WPS number 21AW. PWHT N. Comments For legacy lines service code CC, CCS, DCS use 300H25 (B). SW only for legacy lines < 2""."
73,300H25 (B),ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,4.55 - 7.82,"20PW, for SW see Note (2)",Y,"For legacy lines service codes CC, CCS, DCS only. SW only for legacy lines < 2""",300H25B,4.55,7.82,"Pipe line class 300H25 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.55 - 7.82 mm. WPS number 20PW, for SW see Note (2). PWHT Y. Comments For legacy lines service codes CC, CCS, DCS only. SW only for legacy lines < 2""."
74,300H25 (B),ASME B31.3,-40 / 343,LTCS NACE,> 3,8.18 - 17.48,21PW,Y,"For legacy lines service codes CC, CCS, DCS only. SW only for legacy lines < 2""",300H25B,8.18,17.48,"Pipe line class 300H25 (B). Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 8.18 - 17.48 mm. WPS number 21PW. PWHT Y. Comments For legacy lines service codes CC, CCS, DCS only. SW only for legacy lines < 2""."
75,300H2G,ASME B31.3,-40 / 150,LTCS Galv/Scrd,≤ 2,5.54 - 7.14,,,Threaded connections,300H2G,5.54,7.14,Pipe line class 300H2G. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS Galv/Scrd. Diameter ≤ 2 in. Thickness range 5.54 - 7.14 mm. Comments Threaded connections.
76,300H2G,ASME B31.3,-40 / 150,LTCS Galv/Scrd,> 2,6.02 - 7.62,"21AW, Note (3)",N,Welded,300H2G,6.02,7.62,"Pipe line class 300H2G. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS Galv/Scrd. Diameter > 2 in. Thickness range 6.02 - 7.62 mm. WPS number 21AW, Note (3). PWHT N. Comments Welded."
77,300H5F,ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 5.54,"F-001AW, Note (6)",N,,300H5F,3.91,5.54,"Pipe line class 300H5F. Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number F-001AW, Note (6). PWHT N."
